USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         1  0.0  0.0 226240  7612 ?        Ss   ago15   3:29 /sbin/init splash
root         2  0.0  0.0      0     0 ?        S    ago15   0:00 [kthreadd]
root         3  0.0  0.0      0     0 ?        I<   ago15   0:00 [rcu_gp]
root         4  0.0  0.0      0     0 ?        I<   ago15   0:00 [rcu_par_gp]
root         6  0.0  0.0      0     0 ?        I<   ago15   0:00 [kworker/0:0H-kb]
root         9  0.0  0.0      0     0 ?        I<   ago15   0:00 [mm_percpu_wq]
root        10  0.0  0.0      0     0 ?        S    ago15   0:04 [ksoftirqd/0]
root        11  0.0  0.0      0     0 ?        I    ago15   5:42 [rcu_sched]
root        12  0.0  0.0      0     0 ?        S    ago15   0:02 [migration/0]
root        13  0.0  0.0      0     0 ?        S    ago15   0:00 [idle_inject/0]
root        14  0.0  0.0      0     0 ?        S    ago15   0:00 [cpuhp/0]
root        15  0.0  0.0      0     0 ?        S    ago15   0:00 [cpuhp/1]
root        16  0.0  0.0      0     0 ?        S    ago15   0:00 [idle_inject/1]
root        17  0.0  0.0      0     0 ?        S    ago15   0:02 [migration/1]
root        18  0.0  0.0      0     0 ?        S    ago15   0:02 [ksoftirqd/1]
root        20  0.0  0.0      0     0 ?        I<   ago15   0:07 [kworker/1:0H-ev]
root        21  0.0  0.0      0     0 ?        S    ago15   0:00 [cpuhp/2]
root        22  0.0  0.0      0     0 ?        S    ago15   0:00 [idle_inject/2]
root        23  0.0  0.0      0     0 ?        S    ago15   0:02 [migration/2]
root        24  0.0  0.0      0     0 ?        S    ago15   0:02 [ksoftirqd/2]
root        26  0.0  0.0      0     0 ?        I<   ago15   0:00 [kworker/2:0H-kb]
root        27  0.0  0.0      0     0 ?        S    ago15   0:00 [cpuhp/3]
root        28  0.0  0.0      0     0 ?        S    ago15   0:00 [idle_inject/3]
root        29  0.0  0.0      0     0 ?        S    ago15   0:02 [migration/3]
root        30  0.0  0.0      0     0 ?        S    ago15   0:01 [ksoftirqd/3]
root        32  0.0  0.0      0     0 ?        I<   ago15   0:00 [kworker/3:0H-kb]
root        33  0.0  0.0      0     0 ?        S    ago15   0:00 [cpuhp/4]
root        34  0.0  0.0      0     0 ?        S    ago15   0:00 [idle_inject/4]
root        35  0.0  0.0      0     0 ?        S    ago15   0:02 [migration/4]
root        36  0.0  0.0      0     0 ?        S    ago15   0:00 [ksoftirqd/4]
root        38  0.0  0.0      0     0 ?        I<   ago15   0:00 [kworker/4:0H-kb]
root        39  0.0  0.0      0     0 ?        S    ago15   0:00 [cpuhp/5]
root        40  0.0  0.0      0     0 ?        S    ago15   0:00 [idle_inject/5]
root        41  0.0  0.0      0     0 ?        S    ago15   0:02 [migration/5]
root        42  0.0  0.0      0     0 ?        S    ago15   0:03 [ksoftirqd/5]
root        45  0.0  0.0      0     0 ?        S    ago15   0:00 [cpuhp/6]
root        46  0.0  0.0      0     0 ?        S    ago15   0:00 [idle_inject/6]
root        47  0.0  0.0      0     0 ?        S    ago15   0:02 [migration/6]
root        48  0.0  0.0      0     0 ?        S    ago15   0:02 [ksoftirqd/6]
root        51  0.0  0.0      0     0 ?        S    ago15   0:00 [cpuhp/7]
root        52  0.0  0.0      0     0 ?        S    ago15   0:00 [idle_inject/7]
root        53  0.0  0.0      0     0 ?        S    ago15   0:02 [migration/7]
root        54  0.0  0.0      0     0 ?        S    ago15   0:01 [ksoftirqd/7]
root        56  0.0  0.0      0     0 ?        I<   ago15   0:00 [kworker/7:0H-kb]
root        57  0.0  0.0      0     0 ?        S    ago15   0:00 [kdevtmpfs]
root        58  0.0  0.0      0     0 ?        I<   ago15   0:00 [netns]
root        59  0.0  0.0      0     0 ?        S    ago15   0:00 [rcu_tasks_kthre]
